,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
40,0,30,0.0007994651794433593,0.0003997326039420408,0.00019998550415039061,0.0003999710083007812,100,4,sigmoid,0.001,"{'C': 100, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8,0.12472191289246475,41,0.9583333333333334,0.8333333333333334,0.7916666666666666,0.9583333333333334,0.9166666666666666,0.8916666666666668,0.06770032003863302
39,0,30,0.0005993366241455079,0.0004893563121835441,0.00019974708557128905,0.0003994941711425781,100,4,sigmoid,0.001,"{'C': 100, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8,0.12472191289246475,41,0.9583333333333334,0.8333333333333334,0.7916666666666666,0.9583333333333334,0.9166666666666666,0.8916666666666668,0.06770032003863302
36,0,30,0.00039958953857421875,0.0004893952612605717,0.00039997100830078123,0.0004898625339533384,100,3,sigmoid,0.001,"{'C': 100, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8,0.12472191289246475,41,0.9583333333333334,0.8333333333333334,0.7916666666666666,0.9583333333333334,0.9166666666666666,0.8916666666666668,0.06770032003863302
53,0,30,0.0005995750427246094,0.0004895510730258258,0.00019989013671875,0.0003997802734375,1,,,10,"{'C': 1, 'gamma': 10}",1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.7666666666666666,0.13333333333333336,47,1.0,1.0,1.0,1.0,1.0,1.0,0.0
26,0,30,0.00019993782043457032,0.00039987564086914064,0.00059967041015625,0.000489628932452029,10,3,sigmoid,0.01,"{'C': 10, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7333333333333332,0.13333333333333336,48,0.875,0.7916666666666666,0.7916666666666666,0.7083333333333334,0.7083333333333334,0.775,0.06236095644623234
17,0,30,0.0005998611450195312,0.0004897847209466181,0.00019993782043457032,0.0003998756408691407,100,,rbf,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7333333333333332,0.13333333333333336,48,0.875,0.7916666666666666,0.7916666666666666,0.7083333333333334,0.7083333333333334,0.775,0.06236095644623234
14,0,30,0.00039992332458496096,0.0004898040465379741,0.00019993782043457032,0.0003998756408691407,10,,rbf,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7333333333333332,0.13333333333333336,48,0.875,0.7916666666666666,0.7916666666666666,0.7083333333333334,0.7083333333333334,0.775,0.06236095644623234
30,0,30,0.00039973258972167967,0.0004895704914386467,0.00039992332458496096,0.0004898043250660251,10,4,sigmoid,0.01,"{'C': 10, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7333333333333332,0.13333333333333336,48,0.875,0.7916666666666666,0.7916666666666666,0.7083333333333334,0.7083333333333334,0.775,0.06236095644623234
32,0,30,0.0005996227264404297,0.0004895901227128668,0.0004000663757324219,0.000489979334704009,10,4,sigmoid,0.001,"{'C': 10, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,0.5,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.5999999999999999,0.27080128015453203,52,0.9166666666666666,0.7083333333333334,0.7916666666666666,0.4166666666666667,0.7083333333333334,0.7083333333333333,0.1645701471510958
27,0,30,0.0005996227264404297,0.0004895899601671047,0.0003996849060058594,0.0004895121317013902,10,3,sigmoid,0.001,"{'C': 10, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,0.5,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.5999999999999999,0.27080128015453203,52,0.9166666666666666,0.7083333333333334,0.7916666666666666,0.4166666666666667,0.7083333333333334,0.7083333333333333,0.1645701471510958
37,0,30,0.0007990360260009766,0.00039951813749546,0.0003996849060058594,0.0004895121317013902,100,3,sigmoid,0.0001,"{'C': 100, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",1.0,0.5,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.5999999999999999,0.27080128015453203,52,0.875,0.7083333333333334,0.7916666666666666,0.4166666666666667,0.7083333333333334,0.7,0.1545603082582617
50,0,30,0.0007994174957275391,0.0003997087585296766,0.0003998279571533203,0.0004896872457665585,0.1,,,1,"{'C': 0.1, 'gamma': 1}",1.0,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5999999999999999,0.27080128015453203,52,0.9583333333333334,0.75,0.7916666666666666,0.4166666666666667,0.5,0.6833333333333333,0.19825628755617197
28,0,30,0.0003996849060058594,0.0004895120388033056,0.00039987564086914064,0.0004897456403489048,10,3,sigmoid,0.001,"{'C': 10, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,0.5,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.5999999999999999,0.27080128015453203,52,0.9166666666666666,0.7083333333333334,0.7916666666666666,0.4166666666666667,0.7083333333333334,0.7083333333333333,0.1645701471510958
31,0,30,0.0003996849060058594,0.0004895120388033056,0.0005998611450195312,0.0004897846745234291,10,4,sigmoid,0.001,"{'C': 10, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,0.5,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.5999999999999999,0.27080128015453203,52,0.9166666666666666,0.7083333333333334,0.7916666666666666,0.4166666666666667,0.7083333333333334,0.7083333333333333,0.1645701471510958
